country_code,country_name,indicator_code,metric_name,year,value
ROU,Romania,FP.CPI.TOTL.ZG,inflation_pct,2022,13.7954887432521
ROU,Romania,FP.CPI.TOTL.ZG,inflation_pct,2023,10.3971874764996
ROU,Romania,FP.CPI.TOTL.ZG,inflation_pct,2024,5.72140574354439
ROU,Romania,GGXWDG_NGDP,debt_to_gdp_pct,2019,36.8
ROU,Romania,GGXWDG_NGDP,debt_to_gdp_pct,2020,49.5
ROU,Romania,GGXWDG_NGDP,debt_to_gdp_pct,2021,51.8
ROU,Romania,GGXWDG_NGDP,debt_to_gdp_pct,2022,51.9
ROU,Romania,GGXWDG_NGDP,debt_to_gdp_pct,2023,52.6
ROU,Romania,GGXWDG_NGDP,debt_to_gdp_pct,2024,57.5
ROU,Romania,GOV_WGI_PV_EST,political_stability_est,2019,0.64527
ROU,Romania,GOV_WGI_PV_EST,political_stability_est,2020,0.6180826
ROU,Romania,GOV_WGI_PV_EST,political_stability_est,2021,0.6671952
ROU,Romania,GOV_WGI_PV_EST,political_stability_est,2022,0.5499041
ROU,Romania,GOV_WGI_PV_EST,political_stability_est,2023,0.4983587
ROU,Romania,GOV_WGI_PV_EST,political_stability_est,2024,0.1588848
ROU,Romania,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2019,3.96028958497598
ROU,Romania,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2020,-3.59802546034757
ROU,Romania,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2021,5.58735072538869
ROU,Romania,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2022,4.18771305104109
ROU,Romania,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2023,2.25773416555121
ROU,Romania,NY.GDP.MKTP.KD.ZG,gdp_growth_pct,2024,0.916003764382594
SRB,Serbia,FP.CPI.TOTL.ZG,inflation_pct,2019,1.84922984511086
SRB,Serbia,FP.CPI.TOTL.ZG,inflation_pct,2020,1.57553290083415
SRB,Serbia,FP.CPI.TOTL.ZG,inflation_pct,2021,4.08510285335102
SRB,Serbia,FP.CPI.TOTL.ZG,inflation_pct,2022,11.9815117344703
SRB,Serbia,FP.CPI.TOTL.ZG,inflation_pct,2023,12.3719043552519
SRB,Serbia,FP.CPI.TOTL.ZG,inflation_pct,2024,4.6705297488997
SRB,Serbia,GGXWDG_NGDP,debt_to_gdp_pct,2019,49.5
SRB,Serbia,GGXWDG_NGDP,debt_to_gdp_pct,2020,54.3
SRB,Serbia,GGXWDG_NGDP,debt_to_gdp_pct,2021,53.6
